Daily_Gain_Rate,Weekly_Gain_Rate,Monthly_Gain_Rate,30days_Gain_Rate,90days_Gain_Rate
"('HLB', '028300')","('에코프로', '086520')","('에코프로', '086520')","('에코프로', '086520')","('HLB', '028300')"
"('HPSP', '403870')","('HPSP', '403870')","('HLB', '028300')","('HLB', '028300')","('HPSP', '403870')"
"('엔켐', '348370')","('엔켐', '348370')","('레인보우로보틱스', '277810')","('레인보우로보틱스', '277810')","('엔켐', '348370')"
"('신성델타테크', '065350')","('삼천당제약', '000250')","('삼천당제약', '000250')","('삼천당제약', '000250')","('셀트리온제약', '068760')"
"('동진쎄미켐', '005290')","('동진쎄미켐', '005290')","('동진쎄미켐', '005290')","('동진쎄미켐', '005290')","('레인보우로보틱스', '277810')"
"('ISC', '095340')","('HLB생명과학', '067630')","('솔브레인', '357780')","('솔브레인', '357780')","('삼천당제약', '000250')"
"('가온칩스', '399720')","('ISC', '095340')","('HLB생명과학', '067630')","('HLB생명과학', '067630')","('신성델타테크', '065350')"
"('스튜디오드래곤', '253450')","('에스엠', '041510')","('ISC', '095340')","('ISC', '095340')","('동진쎄미켐', '005290')"
"('테크윙', '089030')","('가온칩스', '399720')","('위메이드', '112040')","('위메이드', '112040')","('HLB생명과학', '067630')"
"('에코프로에이치엔', '383310')","('스튜디오드래곤', '253450')","('에스엠', '041510')","('에스엠', '041510')","('ISC', '095340')"
"('HLB제약', '047920')","('테크윙', '089030')","('레이크머티리얼즈', '281740')","('레이크머티리얼즈', '281740')","('레이크머티리얼즈', '281740')"
"('HLB테라퓨틱스', '115450')","('파라다이스', '034230')","('대주전자재료', '078600')","('대주전자재료', '078600')","('나노신소재', '121600')"
"('메디톡스', '086900')","('HLB테라퓨틱스', '115450')","('가온칩스', '399720')","('가온칩스', '399720')","('대주전자재료', '078600')"
"('오스코텍', '039200')","('차바이오텍', '085660')","('테크윙', '089030')","('테크윙', '089030')","('아프리카TV', '067160')"
,"('메디톡스', '086900')","('파라다이스', '034230')","('파라다이스', '034230')","('가온칩스', '399720')"
,"('피에스케이홀딩스', '031980')","('에코프로에이치엔', '383310')","('에코프로에이치엔', '383310')","('테크윙', '089030')"
,,"('HLB제약', '047920')","('HLB제약', '047920')","('파라다이스', '034230')"
,,"('에이비엘바이오', '298380')","('에이비엘바이오', '298380')","('씨젠', '096530')"
,,"('HLB테라퓨틱스', '115450')","('HLB테라퓨틱스', '115450')","('에코프로에이치엔', '383310')"
,,"('차바이오텍', '085660')","('차바이오텍', '085660')","('HLB제약', '047920')"
,,"('오스코텍', '039200')","('오스코텍', '039200')","('HLB테라퓨틱스', '115450')"
,,"('피에스케이홀딩스', '031980')","('피에스케이홀딩스', '031980')","('오스코텍', '039200')"
,,,,"('피에스케이홀딩스', '031980')"
