Daily_Gain_Rate,Weekly_Gain_Rate,Monthly_Gain_Rate,30days_Gain_Rate,90days_Gain_Rate
"('삼성전자', '005930')","('삼성전자', '005930')","('삼성전자', '005930')","('삼성전자', '005930')","('SK하이닉스', '000660')"
"('삼성전자우', '005935')","('SK하이닉스', '000660')","('SK하이닉스', '000660')","('SK하이닉스', '000660')","('삼성바이오로직스', '207940')"
"('셀트리온', '068270')","('삼성전자우', '005935')","('삼성바이오로직스', '207940')","('삼성바이오로직스', '207940')","('삼성전자우', '005935')"
"('삼성물산', '028260')","('삼성SDI', '006400')","('삼성전자우', '005935')","('삼성전자우', '005935')","('현대차', '005380')"
"('KB금융', '105560')","('삼성물산', '028260')","('삼성SDI', '006400')","('삼성SDI', '006400')","('기아', '000270')"
"('신한지주', '055550')","('카카오', '035720')","('KB금융', '105560')","('KB금융', '105560')","('삼성물산', '028260')"
"('삼성생명', '032830')","('카카오뱅크', '323410')","('현대모비스', '012330')","('현대모비스', '012330')","('KB금융', '105560')"
"('하나금융지주', '086790')","('한미반도체', '042700')","('신한지주', '055550')","('신한지주', '055550')","('현대모비스', '012330')"
"('메리츠금융지주', '138040')","('삼성에스디에스', '018260')","('하나금융지주', '086790')","('하나금융지주', '086790')","('신한지주', '055550')"
"('LG전자', '066570')","('KT&G', '033780')","('한미반도체', '042700')","('삼성화재', '000810')","('삼성생명', '032830')"
"('삼성화재', '000810')","('크래프톤', '259960')","('크래프톤', '259960')","('한미반도체', '042700')","('하나금융지주', '086790')"
"('한국전력', '015760')","('SK텔레콤', '017670')","('두산에너빌리티', '034020')","('크래프톤', '259960')","('메리츠금융지주', '138040')"
"('한미반도체', '042700')","('삼성전기', '009150')","('삼성전기', '009150')","('두산에너빌리티', '034020')","('삼성화재', '000810')"
"('삼성에스디에스', '018260')","('HMM', '011200')","('SK스퀘어', '402340')","('삼성전기', '009150')","('한국전력', '015760')"
"('KT&G', '033780')","('한화에어로스페이스', '012450')","('한화에어로스페이스', '012450')","('SK스퀘어', '402340')","('한미반도체', '042700')"
"('두산에너빌리티', '034020')","('하이브', '352820')","('하이브', '352820')","('한화에어로스페이스', '012450')","('KT&G', '033780')"
"('삼성전기', '009150')","('고려아연', '010130')","('HD한국조선해양', '009540')","('하이브', '352820')","('크래프톤', '259960')"
"('우리금융지주', '316140')","('S-Oil', '010950')","('한화오션', '042660')","('HD한국조선해양', '009540')","('SK텔레콤', '017670')"
"('HMM', '011200')","('아모레퍼시픽', '090430')","('삼성중공업', '010140')","('한화오션', '042660')","('두산에너빌리티', '034020')"
"('하이브', '352820')","('HD현대일렉트릭', '267260')","('금양', '001570')","('삼성중공업', '010140')","('기업은행', '024110')"
"('S-Oil', '010950')","('유한양행', '000100')","('HD현대일렉트릭', '267260')","('금양', '001570')","('우리금융지주', '316140')"
"('HD한국조선해양', '009540')","('LG생활건강', '051900')","('유한양행', '000100')","('HD현대일렉트릭', '267260')","('SK스퀘어', '402340')"
"('유한양행', '000100')","('맥쿼리인프라', '088980')","('LG생활건강', '051900')","('엘앤에프', '066970')","('한화에어로스페이스', '012450')"
"('맥쿼리인프라', '088980')","('HD현대', '267250')","('두산로보틱스', '454910')","('유한양행', '000100')","('KT', '030200')"
"('롯데케미칼', '011170')","('넷마블', '251270')","('두산밥캣', '241560')","('LG생활건강', '051900')","('S-Oil', '010950')"
,"('두산밥캣', '241560')",,"('두산로보틱스', '454910')","('한화오션', '042660')"
,,,"('두산밥캣', '241560')","('삼성중공업', '010140')"
,,,,"('DB손해보험', '005830')"
,,,,"('한국타이어앤테크놀로지', '161390')"
,,,,"('금양', '001570')"
,,,,"('HD현대일렉트릭', '267260')"
,,,,"('유한양행', '000100')"
,,,,"('LG생활건강', '051900')"
,,,,"('현대차2우B', '005387')"
,,,,"('HD현대', '267250')"
,,,,"('넷마블', '251270')"
,,,,"('두산밥캣', '241560')"
,,,,"('코스모신소재', '005070')"
